country,un.name.es,yml
Uganda,Uganda,Uganda: Uganda
United Kingdom,Reino Unido,United Kingdom: Reino Unido
United States,Estados Unidos de América,United States: Estados Unidos de América
Uruguay,Uruguay,Uruguay: Uruguay
Venezuela,Venezuela (República Bolivariana de),Venezuela: Venezuela (República Bolivariana de)
Vietnam,Vietnam,Vietnam: Vietnam
West Bank and Gaza,Territorios Palestinos,West Bank and Gaza: Territorios Palestinos
"Yemen, Rep.",Yemen,"Yemen, Rep.: Yemen"
Zambia,Zambia,Zambia: Zambia
Zimbabwe,Zimbabwe,Zimbabwe: Zimbabwe
